RV_number	Gene_name	Iron_up	Iron_down	Enhanced_upregulation_at_Fe-	Enhanced_downregulation_at_Fe-
Rv0372c	.	0	0	0	0
Rv0373c	.	1	0	0	0
Rv0374c	.	0	0	0	0
Rv0375c	.	0	0	0	0
Rv0376c	.	1	0	1	0
Rv0377	.	0	0	0	0
Rv0378	.	0	0	0	0
Rv0379	secE2	0	0	0	0
Rv0380c	.	0	0	0	0
Rv0381c	.	0	0	0	0
Rv0382c	pyrE	0	0	0	0
Rv0383c	.	1	0	1	0
Rv0384c	clpB	1	0	1	0
Rv0385	.	0	0	0	0
Rv0386	.	0	0	0	0
Rv0389	purT	0	0	0	0
Rv0390	.	0	0	0	0
Rv0391	metZ	0	0	0	0
Rv0392c	ndhA	0	0	0	0
Rv0394c	.	0	1	0	0
Rv0395	.	0	0	0	0
Rv0397	.	0	0	0	0
Rv0397A	.	0	0	0	0
Rv0398c	.	0	0	0	0
Rv0399c	lpqK	0	0	0	0
Rv0400c	fadE7	0	0	0	0
Rv0401	.	0	0	0	0
Rv0402c	mmpL1	0	0	0	0
Rv0403c	mmpS1	0	0	0	0
Rv0404	fadD30	0	0	0	0
Rv0405	pks6	0	0	0	0
Rv0406c	.	0	0	0	0
Rv0407	fgd1	0	0	0	0
Rv0408	pta	0	0	0	0
Rv0409	ackA	0	0	0	0
Rv0410c	pknG	0	0	0	0
Rv0411c	glnH	0	0	0	0
Rv0412c	.	0	0	0	0
Rv0413	mutT3	0	0	0	0
Rv0414c	thiE	0	0	0	0
Rv0415	thiO	1	0	1	0
Rv0416	thiS	0	0	0	0
Rv0417	thiG	0	0	0	0
Rv0418	lpqL	0	1	0	1
Rv0419	lpqM	0	0	0	0
Rv0420c	.	0	0	0	0
Rv0421c	.	1	0	0	0
Rv0422c	thiD	0	0	0	0
Rv0423c	thiC	1	0	0	0
Rv0424c	.	0	0	0	0
Rv0425c	ctpH	0	0	0	0
Rv0426c	.	0	0	0	0
Rv0427c	xthA	0	0	0	0
Rv0428c	.	0	0	0	0
Rv0429c	def	0	0	0	0
Rv0430	.	0	0	0	0
Rv0431	.	0	0	0	0
Rv0432	sodC	0	1	0	1
Rv0433	.	0	0	0	0
Rv0434	.	0	0	0	0
Rv0435c	.	0	0	0	0
Rv0436c	pssA	0	1	0	0
Rv0437c	psd	0	0	0	0
Rv0438c	moeA2	0	0	0	0
Rv0439c	.	0	0	0	0
Rv0440	groEL2	1	0	1	0
Rv0441c	.	0	0	0	0
Rv0442c	PPE10	0	0	0	0
Rv0443	.	0	0	0	0
Rv0444c	rskA	0	0	0	0
Rv0445c	sigK	0	0	0	0
Rv0446c	.	0	0	0	0
Rv0447c	ufaA1	0	0	0	0
Rv0448c	.	0	0	0	0
Rv0449c	.	1	0	0	0
Rv0450c	mmpL4	1	0	0	0
Rv0451c	mmpS4	1	0	1	0
Rv0452	.	0	0	0	0
Rv0453	PPE11	0	0	0	0
Rv0455c	.	0	0	0	0
Rv0456c	echA2	0	0	0	0
Rv0456A	mazF1	0	0	0	0
Rv0457c	.	0	0	0	0
Rv0458	.	0	0	0	0
Rv0459	.	0	0	0	0
Rv0460	.	0	0	0	0
Rv0461	.	0	0	0	0
Rv0462	lpdC	0	0	0	0
Rv0463	.	0	0	0	1
Rv0464c	.	1	0	0	0
Rv0465c	.	1	0	0	0
Rv0466	.	0	0	0	0
Rv0467	icl1	1	0	1	0
Rv0468	fadB2	1	0	1	0
Rv0469	umaA	0	0	0	0
Rv0470A	.	0	0	0	0
Rv0470c	pcaA	0	0	0	0
Rv0471c	.	0	0	0	0
Rv0472c	.	0	0	0	0
Rv0473	.	1	0	1	0
Rv0474	.	0	0	0	0
Rv0475	hbhA	0	0	0	0
Rv0476	.	1	0	1	0
Rv0477	.	1	0	1	0
Rv0478	deoC	1	0	1	0
Rv0479c	.	0	0	0	0
Rv0480c	.	0	0	0	0
Rv0481c	.	0	0	0	0
Rv0482	murB	0	0	0	0
Rv0483	lprQ	0	0	0	0
Rv0484c	.	0	0	0	0
Rv0485	.	0	0	0	0
Rv0486	mshA	0	0	0	0
Rv0487	.	1	0	1	0
Rv0488	.	0	0	0	0
Rv0489	gpm1	0	0	0	0
Rv0490	senX3	0	1	0	0
Rv0491	regX3	0	1	0	0
Rv0492A	.	0	0	0	0
Rv0492c	.	0	0	0	0
Rv0493c	.	0	0	0	0
Rv0494	.	0	0	0	0
Rv0495c	.	0	0	0	0
Rv0496	.	0	0	0	0
Rv0497	.	0	0	0	0
Rv0498	.	0	0	0	0
Rv0499	.	0	0	0	0
Rv0500A	.	0	0	0	0
Rv0500	proC	0	0	0	0
Rv0501	galE2	0	0	0	0
Rv0502	.	0	0	0	0
Rv0503c	cmaA2	0	0	0	0
Rv0504c	.	0	1	0	1
Rv0505c	serB1	0	1	0	1
Rv0506	mmpS2	0	0	0	0
Rv0507	mmpL2	0	0	0	0
Rv0508	.	0	0	0	0
Rv0509	hemA	0	0	0	0
Rv0510	hemC	0	0	0	0
Rv0511	hemD	0	0	0	0
Rv0512	hemB	0	0	0	0
Rv0513	.	0	0	0	0
Rv0514	.	0	0	0	0
Rv0515	.	1	0	0	0
Rv0516c	.	0	0	0	0
Rv0517	.	0	0	0	0
Rv0518	.	0	0	0	0
Rv0519c	.	0	0	0	0
Rv0522	gabP	0	0	0	0
Rv0523c	.	0	0	0	0
Rv0524	hemL	0	1	0	1
Rv0525	.	0	1	0	1
Rv0526	.	0	1	0	1
Rv0527	ccdA	0	1	0	1
Rv0528	.	0	1	0	1
Rv0529	ccsA	0	1	0	1
Rv0530A	.	1	0	1	0
Rv0530	.	0	0	0	0
Rv0531	.	0	0	0	0
Rv0532	PE_PGRS6	0	0	0	0
Rv0533c	fabH	0	0	0	0
Rv0534c	menA	0	0	0	0
Rv0535	.	0	0	0	0
Rv0536	galE3	0	0	0	0
Rv0537c	.	0	0	0	0
Rv0538	.	1	0	1	0
Rv0539	.	0	0	0	0
Rv0540	.	0	0	0	0
Rv0541c	.	0	0	0	0
Rv0542c	menE	0	0	0	0
Rv0543c	.	0	0	0	0
Rv0544c	.	0	0	0	0
Rv0545c	pitA	0	1	0	1
Rv0546c	.	0	0	0	0
Rv0547c	.	0	0	0	0
Rv0548c	menB	0	0	0	0
Rv0549c	vapC3	1	0	0	0
Rv0550c	vapB3	0	0	0	0
Rv0551c	fadD8	0	0	0	0
Rv0552	.	0	0	0	0
Rv0553	menC	0	0	0	0
Rv0554	bpoC	0	0	0	0
Rv0555	menD	0	0	0	0
Rv0556	.	0	0	0	0
Rv0557	mgtA	0	0	0	0
Rv0558	menH	0	0	0	0
Rv0559c	.	0	0	0	0
Rv0560c	.	0	0	0	0
Rv0561c	.	0	0	0	0
Rv0562	grcC1	0	0	0	0
Rv0563	htpX	1	0	1	0
Rv0564c	gpdA1	0	0	0	0
Rv0565c	.	0	0	0	0
Rv0566c	.	0	0	0	0
Rv0567	.	0	1	0	0
Rv0568	cyp135B1	0	0	0	0
Rv0569	.	1	0	0	0
Rv0570	nrdZ	0	0	0	0
Rv0571c	.	0	0	0	0
Rv0572c	.	0	0	0	0
Rv0573c	pncB2	0	0	0	0
Rv0574c	.	0	0	0	0
Rv0575c	.	1	0	1	0
Rv0576	.	0	0	0	0
Rv0577	TB27.3	0	0	0	0
Rv0578c	PE_PGRS7	0	0	0	0
Rv0579	.	0	0	0	0
Rv0580c	.	0	0	0	0
Rv0581	vapB26	0	0	0	0
Rv0582	vapC26	0	0	0	0
Rv0583c	lpqN	0	0	0	0
Rv0584	.	0	0	0	0
Rv0585c	.	0	0	0	0
Rv0586	mce2R	0	0	0	0
Rv0587	yrbE2A	0	0	0	0
Rv0588	.	0	0	0	0
Rv0589	mce2A	0	0	0	0
Rv0591	mce2C	0	0	0	0
Rv0592	mce2D	0	0	0	0
Rv0593	lprL	0	0	0	0
Rv0594	mce2F	0	0	0	0
Rv0595c	vapC4	0	0	0	0
Rv0596c	vapB4	0	0	0	0
Rv0597c	.	0	1	0	1
Rv0598c	vapC27	0	1	0	1
Rv0599c	vapB27	0	0	0	0
Rv0601c	.	0	0	0	0
Rv0602c	tcrA	0	0	0	0
Rv0604	lpqO	0	0	0	0
Rv0605	.	1	0	0	0
Rv0607	.	1	0	0	0
