"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0090" 7.420434 8.03461 1.670185 2.338927 7.574307 8.167061 1.219319 3.016579
"Rv0091" 16.213444 13.468691 1.183559 0.714628 14.167256 15.031434 2.114324 1.413236
"Rv0092" 47.138945 58.210341 3.711178 1.989276 49.370797 51.942143 12.299819 12.853188
"Rv0093c" 56.287948 64.635519 11.152502 8.034424 57.778849 59.775318 10.267662 12.966672
"Rv0094c" 0.282213 0.061258 0 0.082185 0.064436 0.157153 0 0
"Rv0095c" 7.205691 5.545441 3.686024 2.098428 5.384363 5.654065 0.20794 0.188628
"Rv0096" 4.64191 4.324255 0.108833 0.056325 7.065688 5.816014 0.184188 0.334164
"Rv0097" 42.550845 35.870328 2.089594 1.171567 50.166382 41.702974 3.143473 2.495092
"Rv0098" 31.702903 24.032565 1.509467 1.562416 34.299305 25.530522 2.786843 2.106687
"Rv0099" 71.371875 58.548444 2.473588 1.304333 76.659445 66.694434 4.212603 4.346811
"Rv0100" 9.371958 8.383858 0 0 6.743707 7.274789 0.360604 0
"Rv0101" 76.807023 83.959173 0.51242 0.499196 103.748924 109.315792 1.689085 1.686467
"Rv0102" 234.729675 240.971104 4.615047 4.697977 216.016855 228.886861 11.618862 12.960051
"Rv0103c" 120.5222 122.158331 4.392634 4.23435 135.759728 135.820845 14.073618 13.693187
"Rv0104" 15.816199 15.236942 0.199994 0.20701 13.268102 13.359557 0.902581 0.921102
"Rv0105c" 0.236167 1.025271 0 0 0.862758 0.789073 0 0.272021
"Rv0106" 15.5758 13.37734 0.696095 0.655012 17.922763 17.91071 2.498923 2.525913
"Rv0107c" 106.546483 134.667058 5.612666 6.529741 112.440488 128.149906 9.769215 10.523545
"Rv0108c" 1492.948905 1138.475069 204.519038 152.702875 1407.696943 1034.475004 337.783055 247.714306
"Rv0109" 13.58794 15.678181 0.711247 0.736196 13.440445 17.445875 0.974429 1.663873
"Rv0110" 90.192319 92.95923 0.605982 1.463558 89.912288 87.855413 3.646429 2.894307
"Rv0111" 65.410788 61.535662 0.588904 0.419074 63.681827 60.938461 0.581382 1.167788
"Rv0112" 74.41123 65.524109 20.341883 17.778331 69.757607 70.105487 18.396464 15.148776
"Rv0113" 72.54654 59.033725 7.690131 7.031235 67.608229 59.741255 7.374995 5.247112
"Rv0114" 43.697146 37.226447 4.362438 2.599813 33.256823 38.854627 3.877911 3.111867
"Rv0115a" 35.256415 36.486612 8.015639 16.178789 34.150823 31.729929 14.922143 18.868783
"Rv0115" 50.379321 39.91667 2.544499 2.768821 42.887081 33.380992 3.680585 3.205213
"Rv0116c" 94.551294 75.214987 100.596274 57.351732 83.994763 65.740446 138.934195 121.211421
"Rv0117" 25.284903 25.664312 3.446725 2.572013 25.239085 22.3696 3.617489 3.117451
"Rv0118c" 78.814277 87.176135 1.905605 2.734533 75.53014 64.332703 1.954561 2.08332
"Rv0119" 30.113585 38.960281 0.576029 1.391215 33.969032 35.105758 0.974865 1.719527
"Rv0120c" 94.54457 84.94976 6.215203 5.300098 87.378345 85.341305 12.510694 12.469231
"Rv0121c" 50.132632 48.633178 4.005056 3.965305 45.926969 51.697901 4.71521 3.564418
"Rv0122" 3.648114 6.81013 4.516129 3.61215 5.830628 5.68817 3.474113 2.941369
"Rv0123" 14.592455 12.828385 14.3695 11.048929 14.493276 12.392085 14.591275 18.698704
"Rv0124" 0.827554 2.594691 0.206961 0.749774 1.763526 3.021008 0.408635 0.688415
"Rv0125" 281.772219 278.576953 29.859382 25.1806 319.904961 273.597105 39.450701 39.851893
"Rv0126" 158.989286 145.680386 7.465729 7.119825 149.832483 140.335756 11.972417 10.688813
"Rv0127" 143.963693 143.794195 8.80402 8.310461 137.232388 127.238058 16.742787 14.961175
"Rv0128" 40.212037 29.444982 2.427814 1.708825 34.991459 32.96404 2.958341 2.584203
"Rv0129c" 752.885649 808.340141 21.843205 18.240827 825.688795 872.724248 37.927942 32.738289
"Rv0130" 42.067313 36.653422 1.328909 0.343881 45.025165 39.946832 2.62387 1.53012
"Rv0131c" 35.907456 33.742386 8.510355 4.666958 36.818857 34.803766 5.150683 5.364528
"Rv0132c" 10.130337 11.871554 8.043394 4.416158 11.011512 9.413505 1.815008 2.362291
"Rv0133" 233.133439 267.707277 4.874858 4.916479 254.812481 212.392211 5.077021 5.884818
"Rv0134" 271.541477 301.52151 25.333148 21.79361 262.291939 261.827256 30.191313 31.680095
"Rv0135c" 210.808607 172.428174 155.120478 112.302727 198.920093 168.602553 127.771689 100.553637
"Rv0136" 30.252933 29.705011 40.901522 26.548869 31.060251 33.919437 30.356832 26.368224
"Rv0137c" 106.907678 100.38127 20.972066 12.853262 109.282635 98.037678 25.062973 22.45291
"Rv0138" 60.096161 56.469217 7.664955 6.378176 57.080662 50.718308 9.495909 6.306686
"Rv0139" 161.722706 157.040781 3.406059 2.452548 160.679124 142.522978 6.182088 4.9259
