"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0342" 2210 2516 1227 836 2472 1895 734 923
"Rv0343" 1822 2318 324 207 2114 1542 282 386
"Rv0344c" 144 207 2 2 166 137 4 10
"Rv0345" 314 365 35 20 359 233 26 42
"Rv0346c" 10162 10519 243 207 10600 8043 405 372
"Rv0347" 574 572 100 56 513 460 57 56
"Rv0348" 248 239 50 51 270 167 34 22
"Rv0349" 458 427 51 36 410 318 50 54
"Rv0350" 22922 21577 5499 5247 24796 17947 5519 5287
"Rv0351" 6893 7886 1386 1562 8340 7888 1694 2141
"Rv0352" 7199 10375 1569 1644 9279 9140 1676 2222
"Rv0353" 1137 1799 232 195 1276 1416 237 296
"Rv0354c" 156 137 3 2 127 93 9 9
"Rv0355c" 5169 6129 206 166 5310 4761 301 309
"Rv0356c" 181 290 3 4 257 207 14 5
"Rv0357c" 883 955 29 23 1174 881 51 69
"Rv0358" 64 96 2 7 63 83 4 7
"Rv0359" 210 223 2 2 211 151 11 9
"Rv0360c" 579 653 18 8 628 466 34 29
"Rv0361" 2220 2085 295 264 2331 1786 384 363
"Rv0362" 707 757 21 32 756 517 67 64
"Rv0363c" 6660 6208 235 172 7053 5080 534 512
"Rv0364" 1488 1599 41 56 1593 1138 75 74
"Rv0365c" 628 893 47 58 788 557 96 121
"Rv0366c" 208 307 14 37 230 153 54 64
"Rv0367c" 137 361 30 49 176 156 66 85
"Rv0368c" 54 75 1 4 62 69 1 5
"Rv0369c" 54 67 1 0 65 36 2 11
"Rv0370c" 123 186 3 4 166 127 12 9
"Rv0371c" 24 31 5 0 38 16 0 1
"Rv0372c" 21 41 5 9 47 28 4 7
"Rv0373c" 216 253 33 28 232 239 20 18
"Rv0374c" 27 19 9 0 26 33 4 7
"Rv0375c" 76 83 11 10 71 59 5 6
"Rv0376c" 181 308 83 44 222 169 30 37
"Rv0377" 629 712 34 29 663 484 77 64
"Rv0378" 18 14 3 0 9 14 0 0
"Rv0379" 226 364 4 5 275 218 5 9
"Rv0380c" 338 430 12 9 374 275 9 12
"Rv0381c" 760 1266 48 55 867 795 47 75
"Rv0382c" 1822 2867 128 186 1937 2020 176 206
"Rv0383c" 7837 9594 999 963 8761 7276 946 1119
"Rv0384c" 1252 1843 261 509 1681 1478 219 310
"Rv0385" 250 362 71 72 320 244 101 62
"Rv0386" 1687 2132 62 55 1958 1630 133 151
